Column,key,scientificName,decimalLatitude,decimalLongitude
1065,2544923470,Chaetodon auriga,20.501113,-156.666899
1066,2544923929,Chaetodon auriga,20.513914,-156.689214
1067,2545108117,Chaetodon auriga,21.11971,-157.303971
1068,2545108150,Chaetodon auriga,21.11971,-157.303971
1069,2545110658,Chaetodon ephippium,21.039227,-156.871426
1070,2545110659,Chaetodon auriga,21.039227,-156.871426
4053,2611292155,Heteractis magnifica,-1.856575,129.940155
4054,2611399110,Heteractis magnifica,-1.856575,129.940155
4065,2252043071,Chaetodon auriga,-33.83952,151.25352
4068,2265803474,Hexabranchus sanguineus,21.595555,-158.111112
4073,2265839213,Hexabranchus sanguineus,21.648888,-158.065
4076,2265871839,Chaetodon auriga,21.872812,-159.455978
4083,2269263186,Chaetodon auriga,-33.799918,151.295335
4086,2269266362,Balistoides viridescens,13.524443,144.802854
4087,2269267054,Chaetodon auriga,13.524385,144.802608
4088,2269267386,Chaetodon ephippium,13.524364,144.802532
4091,2269292166,Heteractis magnifica,11.155499,119.322417
4110,2273238262,Chaetodon speculum,7.361259,134.503508
4111,2273238906,Chaetodon auriga,7.361259,134.503508
4112,2273249140,Chaetodon auriga,-33.799666,151.293073
4115,2273258737,Balistoides viridescens,2.809564,104.13514
4116,2273306590,Chaetodon auriga,-22.966756,113.59437
4119,2273364312,Balistoides viridescens,3.88565,72.7274
4123,2283080391,Chaetodon auriga,21.595555,-158.111112
4127,2283094727,Chaetodon auriga,-33.800317,151.297244
4130,2283166359,Chaetodon auriga,-33.086079,151.640279
4141,2397627517,Chaetodon auriga,9.077958,123.266456
4162,2465171873,Heteractis magnifica,12.858613,109.42649
4163,2518107360,Hexabranchus sanguineus,-20.027136,57.530275
4259,2563630966,Chaetodon auriga,26.100119,34.296447
6265,2619903473,Chaetodon ephippium,-16.42858,145.996625
6269,2283151174,Chelmon rostratus,1.436944,104.049444
6313,2294520279,Balistoides viridescens,9.172788,123.253107
6315,2294549961,Balistoides viridescens,-8.401014,119.810677
6317,2294558866,Chaetodon ephippium,-8.544836,119.64829
6318,2294558927,Balistoides viridescens,-8.544836,119.64829
6325,2294605835,Chaetodon auriga,-33.084569,151.639807
6326,2294617991,Chaetodon auriga,-27.938409,153.422494
6329,2294643078,Chaetodon auriga,15.155434,145.759702
6330,2294643815,Chaetodon ephippium,15.155434,145.759702
6332,2294658563,Chaetodon auriga,-23.897456,152.405097
6346,2311402653,Chaetodon auriga,-18.976327,-169.899284
6349,2331846469,Hexabranchus sanguineus,21.595555,-158.111112
6360,2331912305,Chaetodon speculum,30.458321,130.502866
6361,2331944815,Balistoides viridescens,30.270704,130.4124
6363,2331960607,Chaetodon speculum,22.325501,114.354445
6365,2350417953,Chaetodon auriga,-12.147336,40.558371
6368,2366047178,Chaetodon ephippium,-8.953733,149.39595
6369,2366134750,Chaetodon auriga,-13.24708,48.187919
6371,2397595911,Chaetodon auriga,9.141506,123.235438
6372,2397656010,Chelmon rostratus,-14.662513,145.450579
6373,2397687890,Chaetodon auriga,-14.662709,145.449881
6383,2451683741,Chaetodon ephippium,7.399554,151.863037
6384,2465143369,Chaetodon auriga,-14.955317,-147.669921
6385,2510890367,Chaetodon auriga,-17.56168,-149.56222
6389,2543040272,Chaetodon auriga,19.578572,-155.96847
6390,2543040899,Chaetodon ephippium,19.578551,-155.968559
6391,2544845703,Chaetodon auriga,20.217855,-155.730055
6392,2544849970,Chaetodon auriga,20.252542,-155.800695
6393,2544850477,Chaetodon auriga,19.893961,-155.907238
6394,2544851470,Chaetodon auriga,19.763842,-156.051682
6395,2544851499,Chaetodon auriga,19.54249,-154.843742
6396,2544851714,Chaetodon auriga,19.677569,-156.035911
6397,2544851904,Chaetodon auriga,19.133328,-155.919252
6398,2544852297,Chaetodon auriga,19.749405,-155.072139
6399,2544852621,Chaetodon auriga,19.54249,-154.843742
6400,2544853252,Chaetodon auriga,19.741137,-156.054655
6401,2544853557,Chaetodon auriga,19.549881,-154.865927
6402,2544854478,Chaetodon auriga,19.740152,-155.059989
6403,2544854941,Chaetodon auriga,19.567278,-154.89433
6404,2544854950,Chaetodon auriga,19.559103,-154.885278
6405,2544929806,Chaetodon ephippium,21.908902,-159.626882
6406,2544929871,Chaetodon auriga,22.218748,-159.593523
6407,2544978166,Chaetodon auriga,20.742582,-156.875757
6408,2544979433,Chaetodon auriga,20.881127,-156.844643
6409,2544980240,Chaetodon ephippium,20.829877,-156.993631
6410,2544980648,Chaetodon auriga,20.865849,-157.038415
6411,2544981346,Chaetodon ephippium,20.846865,-157.005594
6412,2545125235,Chaetodon auriga,22.009173,-160.080699
6413,2545125378,Chaetodon auriga,21.805188,-160.250107
6414,2545125557,Chaetodon auriga,21.98847,-160.112336
6415,2545125633,Chaetodon auriga,21.950853,-160.162351
6416,2545125729,Chaetodon auriga,21.950853,-160.162351
6417,2545125761,Chaetodon auriga,21.858576,-160.241301
6418,2545125862,Chaetodon auriga,21.958976,-160.144184
6419,2545125938,Chaetodon auriga,21.958976,-160.144184
6420,2545125972,Chaetodon auriga,21.781435,-160.21526
6421,2545126049,Chaetodon auriga,21.781435,-160.21526
6422,2545126198,Chaetodon auriga,21.89752,-160.225977
6423,2545126241,Chaetodon auriga,21.92818,-160.183392
6424,2545126393,Chaetodon auriga,21.89752,-160.225977
6425,2545143185,Chaetodon auriga,21.369566,-158.141284
6426,2545143246,Chaetodon auriga,21.297019,-157.892229
6427,2545144716,Chaetodon ephippium,21.297019,-157.892229
6440,2574160047,Hexabranchus sanguineus,-8.272966,115.596937
6442,2596068143,Chaetodon auriga,7.38696,151.81051
6443,2596231073,Hexabranchus sanguineus,-8.128194,115.36763
6444,2603540526,Heteractis magnifica,-6.172398,39.149325
6445,2609093513,Heteractis magnifica,-6.359044,39.284912
6446,2609104343,Heteractis magnifica,-6.356501,39.281179
6447,2609110581,Heteractis magnifica,-6.358892,39.282259
6448,2609138797,Heteractis magnifica,-6.358563,39.283031
6449,2609174351,Heteractis magnifica,-5.749512,39.287517
6450,2609180418,Heteractis magnifica,-5.754022,39.285047
6451,2609263695,Heteractis magnifica,-5.748342,39.287471
6452,2609280665,Heteractis magnifica,-5.752369,39.284958
6453,2609341323,Heteractis magnifica,-6.358015,39.280621
6454,2609346749,Heteractis magnifica,-5.753211,39.28534
6457,2611097700,Heteractis magnifica,-5.726307,39.290411
6459,2611330620,Heteractis magnifica,-5.72786,39.290205
6460,2611366211,Heteractis magnifica,-5.818157,39.38262
6461,2611371547,Heteractis magnifica,-5.726974,39.290418
6470,2331959242,Chaetodon speculum,22.362734,114.290855
6471,2350346146,Chaetodon speculum,-8.742621,115.917635
6472,2350393845,Hexabranchus sanguineus,-30.204955,153.264355
6474,2350404193,Balistoides viridescens,10.063418,99.832517
6475,2350411155,Balistoides viridescens,4.806498,103.675193
6476,2350441968,Heteractis magnifica,2.934703,104.098799
6477,2350442205,Heteractis magnifica,4.844188,103.6673
6487,2366077277,Chaetodon auriga,21.272083,-157.695755
6488,2366079826,Chaetodon auriga,16.759493,-156.405814
6489,2366080205,Chaetodon auriga,21.6525,-158.063888
6490,2366089959,Chaetodon auriga,-12.963418,40.548788
6493,2366105807,Chaetodon auriga,-13.095421,40.565312
6494,2366108711,Heteractis magnifica,-13.095212,40.564925
6496,2366111644,Chaetodon auriga,-8.604274,115.311343
6501,2397517757,Chaetodon speculum,-8.668122,115.549303
6502,2397529920,Chelmon rostratus,1.206217,103.75217
6503,2397532704,Heteractis magnifica,10.123802,99.803697
6516,2397582620,Chaetodon ephippium,-17.165885,177.193538
6530,2397643065,Chaetodon auriga,25.145123,121.794614
6533,2397652533,Chelmon rostratus,-27.416667,153.55
