Column,scientificName,decimalLatitude,decimalLongitude
508,Aetobatus narinari,17.89755,-66.95998
509,Aetobatus narinari,17.99116,-67.23322
510,Aetobatus narinari,17.99116,-67.23322
511,Aetobatus narinari,17.89755,-66.95998
512,Aetobatus narinari,17.99116,-67.23322
513,Aetobatus narinari,17.89755,-66.95998
514,Aetobatus narinari,17.89755,-66.95998
515,Aetobatus narinari,17.89755,-66.95998
516,Aetobatus narinari,17.89755,-66.95998
517,Aetobatus narinari,17.89755,-66.95998
518,Aetobatus narinari,17.89755,-66.95998
519,Aetobatus narinari,17.89755,-66.95998
520,Aetobatus narinari,17.89755,-66.95998
521,Aetobatus narinari,17.89755,-66.95998
522,Aetobatus narinari,17.89755,-66.95998
523,Aetobatus narinari,17.89755,-66.95998
524,Aetobatus narinari,17.89755,-66.95998
525,Aetobatus narinari,17.89755,-66.95998
526,Aetobatus narinari,17.89755,-66.95998
527,Aetobatus narinari,17.89755,-66.95998
528,Aetobatus narinari,17.89755,-66.95998
529,Aetobatus narinari,17.89755,-66.95998
530,Aetobatus narinari,17.89755,-66.95998
531,Aetobatus narinari,17.89755,-66.95998
532,Aetobatus narinari,17.99116,-67.23322
533,Aetobatus narinari,17.99116,-67.23322
534,Aetobatus narinari,17.99116,-67.23322
535,Aetobatus narinari,17.99116,-67.23322
536,Aetobatus narinari,17.99116,-67.23322
537,Aetobatus narinari,17.89755,-66.95998
538,Aetobatus narinari,17.99116,-67.23322
539,Aetobatus narinari,17.99116,-67.23322
540,Aetobatus narinari,17.99116,-67.23322
541,Aetobatus narinari,18.0017,-67.3299
542,Aetobatus narinari,17.99116,-67.23322
543,Aetobatus narinari,17.99116,-67.23322
544,Aetobatus narinari,17.99116,-67.23322
545,Aetobatus narinari,18.0017,-67.3299
546,Aetobatus narinari,17.99116,-67.23322
547,Aetobatus narinari,17.99116,-67.23322
548,Aetobatus narinari,17.99116,-67.23322
549,Aetobatus narinari,17.99116,-67.23322
550,Aetobatus narinari,17.88827,-66.9978
551,Aetobatus narinari,17.88827,-66.9978
552,Aetobatus narinari,17.89755,-66.95998
553,Aetobatus narinari,17.88827,-66.9978
554,Aetobatus narinari,17.88827,-66.9978
555,Aetobatus narinari,17.99116,-67.23322
556,Aetobatus narinari,18.0017,-67.3299
557,Aetobatus narinari,18.0017,-67.3299
558,Aetobatus narinari,17.99116,-67.23322
559,Aetobatus narinari,18.0017,-67.3299
560,Aetobatus narinari,18.0017,-67.3299
561,Aetobatus narinari,18.0017,-67.3299
562,Aetobatus narinari,18.0017,-67.3299
563,Aetobatus narinari,18.0017,-67.3299
564,Aetobatus narinari,18.0017,-67.3299
565,Aetobatus narinari,18.0017,-67.3299
566,Aetobatus narinari,18.0017,-67.3299
567,Aetobatus narinari,18.0017,-67.3299
568,Aetobatus narinari,18.0017,-67.3299
569,Aetobatus narinari,17.88827,-66.9978
570,Aetobatus narinari,17.88827,-66.9978
571,Aetobatus narinari,17.88827,-66.9978
572,Aetobatus narinari,17.88827,-66.9978
573,Aetobatus narinari,17.88827,-66.9978
574,Aetobatus narinari,17.99116,-67.23322
575,Aetobatus narinari,17.99116,-67.23322
576,Aetobatus narinari,17.88827,-66.9978
577,Aetobatus narinari,17.88827,-66.9978
578,Aetobatus narinari,17.88827,-66.9978
579,Aetobatus narinari,17.88827,-66.9978
580,Aetobatus narinari,17.88827,-66.9978
581,Aetobatus narinari,18.0017,-67.3299
582,Aetobatus narinari,18.0017,-67.3299
583,Aetobatus narinari,18.0017,-67.3299
584,Aetobatus narinari,18.0017,-67.3299
585,Aetobatus narinari,18.0017,-67.3299
586,Aetobatus narinari,18.0017,-67.3299
587,Aetobatus narinari,18.0017,-67.3299
588,Aetobatus narinari,18.0017,-67.3299
589,Aetobatus narinari,18.0017,-67.3299
590,Aetobatus narinari,17.88827,-66.9978
591,Aetobatus narinari,18.0017,-67.3299
592,Aetobatus narinari,18.0017,-67.3299
593,Aetobatus narinari,18.0017,-67.3299
594,Aetobatus narinari,17.88827,-66.9978
